<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.05.18	00:03:30.211	0.78591	0.78717			6
2026.05.18	00:04:04.729	0.78591				2
2026.05.18	00:04:51.061		0.78717			4
2026.05.18	00:05:00.340	0.78591	0.78732			6
2026.05.18	00:05:00.833		0.78736			4
2026.05.18	00:05:22.204		0.78724			4
2026.05.18	00:05:49.345		0.78726			4
2026.05.18	00:06:10.455	0.78591	0.78735			6
2026.05.18	00:06:27.842		0.78725			4
2026.05.18	00:06:50.345		0.78727			4
2026.05.18	00:07:10.213	0.78591				2
2026.05.18	00:07:10.514		0.78734			4
2026.05.18	00:08:05.215	0.78591				2
2026.05.18	00:08:21.061		0.78734			4
2026.05.18	00:09:00.216	0.78591				2
2026.05.18	00:09:40.459		0.78734			4
2026.05.18	00:10:00.294	0.78591				2
2026.05.18	00:10:07.472		0.78729			4
2026.05.18	00:11:01.170	0.78591				2
2026.05.18	00:11:09.270		0.78729			4
2026.05.18	00:12:04.170	0.78591				2
2026.05.18	00:12:11.062		0.78729			4
2026.05.18	00:13:01.169	0.78591				2
2026.05.18	00:13:05.129	0.78583				2
2026.05.18	00:13:10.770		0.78744			4
2026.05.18	00:14:00.472	0.78583				2
2026.05.18	00:14:11.669		0.78744			4
2026.05.18	00:14:25.540		0.78736			4
2026.05.18	00:15:00.221	0.78583				2
2026.05.18	00:15:00.522		0.78734			4
2026.05.18	00:15:51.571		0.78733			4
2026.05.18	00:16:01.469	0.78583				2
2026.05.18	00:16:06.132		0.78741			4
2026.05.18	00:16:09.485		0.78746			4
2026.05.18	00:17:04.728	0.78592				2
2026.05.18	00:17:12.011		0.78746			4
2026.05.18	00:18:01.062	0.78592				2
2026.05.18	00:18:15.666		0.78746			4
2026.05.18	00:19:03.570	0.78592				2
2026.05.18	00:19:16.469		0.78746			4
2026.05.18	00:20:00.229	0.78592				2
2026.05.18	00:20:15.682		0.78739			4
2026.05.18	00:20:36.829		0.78736			4
2026.05.18	00:21:01.066	0.78592				2
2026.05.18	00:21:38.370		0.78736			4
2026.05.18	00:21:47.346		0.78733			4
2026.05.18	00:21:53.370		0.78748			4
2026.05.18	00:22:00.272	0.78592	0.78742			6
2026.05.18	00:22:00.573		0.78733			4
2026.05.18	00:22:01.016		0.78738			4
2026.05.18	00:22:02.016		0.78742			4
2026.05.18	00:22:02.385		0.78733			4
2026.05.18	00:22:34.146		0.78730			4
2026.05.18	00:23:00.270	0.78592				2
2026.05.18	00:23:04.728	0.78590				2
2026.05.18	00:23:35.669		0.78730			4
2026.05.18	00:23:48.165		0.78747			4
2026.05.18	00:23:48.806		0.78743			4
2026.05.18	00:23:49.166		0.78750			4
2026.05.18	00:23:50.971		0.78747			4
2026.05.18	00:23:51.804		0.78743			4
2026.05.18	00:23:52.105		0.78738			4
2026.05.18	00:23:52.806		0.78734			4
2026.05.18	00:23:53.106		0.78750			4
2026.05.18	00:24:00.571	0.78590				2
2026.05.18	00:24:00.871		0.78747			4
2026.05.18	00:24:01.926		0.78743			4
2026.05.18	00:24:02.227		0.78730			4
2026.05.18	00:24:02.806		0.78738			4
2026.05.18	00:24:04.165		0.78730			4
2026.05.18	00:25:02.069	0.78590				2
2026.05.18	00:25:08.418		0.78730			4
2026.05.18	00:25:25.345		0.78728			4
2026.05.18	00:26:02.370	0.78590				2
2026.05.18	00:26:29.070		0.78728			4
2026.05.18	00:26:54.855		0.78732			4
2026.05.18	00:26:55.286		0.78728			4
2026.05.18	00:27:06.570	0.78590				2
2026.05.18	00:27:55.769		0.78728			4
2026.05.18	00:28:00.570	0.78590				2
2026.05.18	00:28:15.706		0.78739			4
2026.05.18	00:29:02.011	0.78590				2
2026.05.18	00:29:03.966		0.78721			4
2026.05.18	00:29:46.345		0.78722			4
2026.05.18	00:30:00.080	0.78590				2
2026.05.18	00:30:12.867		0.78720			4
2026.05.18	00:30:30.541	0.78588				2
2026.05.18	00:30:30.842	0.78590				2
2026.05.18	00:31:00.243	0.78590				2
2026.05.18	00:31:12.867		0.78720			4
2026.05.18	00:31:15.707		0.78724			4
2026.05.18	00:31:37.697		0.78719			4
2026.05.18	00:32:00.869	0.78590				2
2026.05.18	00:32:15.710		0.78722			4
2026.05.18	00:33:00.269	0.78590				2
2026.05.18	00:33:15.716		0.78723			4
2026.05.18	00:34:00.270	0.78590				2
2026.05.18	00:34:16.771		0.78723			4
2026.05.18	00:35:00.019	0.78590	0.78715			6
2026.05.18	00:35:15.722		0.78716			4
2026.05.18	00:35:52.345		0.78714			4
2026.05.18	00:36:00.870	0.78590				2
2026.05.18	00:36:52.469		0.78714			4
2026.05.18	00:37:03.570	0.78590				2
2026.05.18	00:37:52.645		0.78714			4
2026.05.18	00:38:00.172	0.78590				2
2026.05.18	00:38:55.344		0.78714			4
2026.05.18	00:39:02.346	0.78590				2
2026.05.18	00:39:07.346		0.78713			4
2026.05.18	00:39:48.959		0.78710			4
2026.05.18	00:40:00.116	0.78590	0.78718			6
2026.05.18	00:40:31.564	0.78588				2
2026.05.18	00:41:05.070	0.78588	0.78718			6
2026.05.18	00:41:05.370	0.78593				2
2026.05.18	00:42:00.256	0.78593				2
2026.05.18	00:42:06.570		0.78718			4
2026.05.18	00:42:40.472		0.78719			4
2026.05.18	00:43:01.062	0.78593				2
2026.05.18	00:43:40.770		0.78719			4
2026.05.18	00:44:02.011	0.78593				2
2026.05.18	00:44:39.429		0.78722			4
2026.05.18	00:44:45.259	0.78595				2
2026.05.18	00:45:00.269	0.78595				2
2026.05.18	00:45:02.708	0.78540				2
2026.05.18	00:45:03.010	0.78621	0.78716			6
2026.05.18	00:45:05.727	0.78595	0.78722			6
2026.05.18	00:45:15.742		0.78726			4
2026.05.18	00:46:00.570	0.78595				2
2026.05.18	00:46:16.169		0.78726			4
2026.05.18	00:47:02.675	0.78534				2
2026.05.18	00:47:02.976	0.78621	0.78716			6
2026.05.18	00:47:05.680	0.78595	0.78726			6
2026.05.18	00:47:33.346		0.78724			4
2026.05.18	00:48:02.011	0.78595				2
2026.05.18	00:48:37.770		0.78724			4
2026.05.18	00:49:02.371	0.78595				2
2026.05.18	00:49:27.258		0.78722			4
2026.05.18	00:50:10.169	0.78595				2
2026.05.18	00:50:17.096	0.78624				2
2026.05.18	00:50:32.969		0.78722			4
2026.05.18	00:51:02.011	0.78624				2
2026.05.18	00:51:10.770		0.78732			4
2026.05.18	00:51:44.970	0.78599				2
2026.05.18	00:51:45.272		0.78728			4
2026.05.18	00:52:04.169	0.78599				2
2026.05.18	00:52:10.756		0.78733			4
2026.05.18	00:52:19.690		0.78730			4
2026.05.18	00:52:50.753		0.78729			4
2026.05.18	00:53:09.869	0.78599				2
2026.05.18	00:53:40.346		0.78725			4
2026.05.18	00:53:50.754		0.78729			4
2026.05.18	00:54:02.369	0.78599				2
2026.05.18	00:54:40.346		0.78725			4
2026.05.18	00:55:00.394	0.78599				2
2026.05.18	00:55:08.944	0.78533				2
2026.05.18	00:55:09.248	0.78599				2
2026.05.18	00:55:39.491		0.78724			4
2026.05.18	00:55:50.928		0.78728			4
2026.05.18	00:56:00.264	0.78599				2
2026.05.18	00:56:00.563		0.78727			4
2026.05.18	00:56:16.497		0.78726			4
2026.05.18	00:56:28.248	0.78588				2
2026.05.18	00:56:30.959	0.78592				2
2026.05.18	00:56:49.629		0.78725			4
2026.05.18	00:56:50.835		0.78729			4
2026.05.18	00:57:00.169	0.78592				2
2026.05.18	00:57:15.201	0.78599	0.78726			6
2026.05.18	00:57:42.598		0.78725			4
2026.05.18	00:58:00.044	0.78599	0.78727			6
2026.05.18	00:58:10.273	0.78596				2
2026.05.18	00:58:18.384		0.78726			4
2026.05.18	00:59:00.185	0.78596				2
2026.05.18	00:59:00.791		0.78725			4
2026.05.18	00:59:05.293	0.78592				2
2026.05.18	01:00:00.074	0.78592	0.78724			6
2026.05.18	01:00:00.376		0.78727			4
2026.05.18	01:00:01.275		0.78728			4
2026.05.18	01:00:01.872		0.78718			4
2026.05.18	01:00:03.073	0.78634	0.78688			6
2026.05.18	01:00:03.375	0.78595	0.78701			6
2026.05.18	01:00:04.273	0.78636	0.78680			6
2026.05.18	01:00:04.572	0.78631	0.78681			6
2026.05.18	01:00:05.781	0.78592	0.78712			6
2026.05.18	01:00:07.277		0.78713			4
2026.05.18	01:00:07.879		0.78712			4
2026.05.18	01:00:09.678		0.78720			4
2026.05.18	01:00:10.281	0.78598	0.78721			6
2026.05.18	01:00:11.182	0.78600				2
2026.05.18	01:00:13.286	0.78608	0.78722			6
2026.05.18	01:00:14.484	0.78606	0.78723			6
2026.05.18	01:00:14.787	0.78614	0.78729			6
2026.05.18	01:00:15.087	0.78609				2
2026.05.18	01:00:16.287	0.78613				2
2026.05.18	01:00:18.390	0.78612				2
2026.05.18	01:00:19.290	0.78610	0.78727			6
2026.05.18	01:00:22.592		0.78725			4
2026.05.18	01:00:24.397		0.78727			4
2026.05.18	01:00:24.697	0.78608	0.78726			6
2026.05.18	01:00:29.505		0.78725			4
2026.05.18	01:00:30.709	0.78610	0.78724			6
2026.05.18	01:00:33.110	0.78607				2
2026.05.18	01:00:39.725	0.78611	0.78723			6
2026.05.18	01:00:44.534	0.78610	0.78724			6
2026.05.18	01:00:59.551	0.78611	0.78725			6
2026.05.18	01:01:00.152	0.78616	0.78726			6
2026.05.18	01:01:02.258	0.78617				2
2026.05.18	01:01:04.664	0.78616	0.78727			6
2026.05.18	01:01:19.674		0.78728			4
2026.05.18	01:01:20.881	0.78612	0.78727			6
2026.05.18	01:01:23.281	0.78611	0.78725			6
2026.05.18	01:01:24.181		0.78720			4
2026.05.18	01:01:46.404	0.78613	0.78715			6
2026.05.18	01:01:52.717	0.78615				2
2026.05.18	01:01:53.920	0.78614	0.78719			6
2026.05.18	01:01:55.120		0.78723			4
2026.05.18	01:02:00.233	0.78614				2
2026.05.18	01:02:00.528	0.78616				2
2026.05.18	01:02:08.643	0.78618	0.78718			6
2026.05.18	01:02:14.645		0.78717			4
2026.05.18	01:02:24.857	0.78616	0.78718			6
2026.05.18	01:02:25.160		0.78713			4
2026.05.18	01:02:26.665	0.78619				2
2026.05.18	01:02:35.371	0.78616				2
2026.05.18	01:02:36.572	0.78617	0.78714			6
2026.05.18	01:02:38.374	0.78615	0.78709			6
2026.05.18	01:02:39.879	0.78614	0.78708			6
2026.05.18	01:02:47.683	0.78615	0.78709			6
2026.05.18	01:03:00.007	0.78615				2
2026.05.18	01:03:11.121	0.78616				2
